Minutes,TrAmb1,TrAmb2,RH1,TrTTankOut,TrHPWH1WIn,TrHPWH2WIn,TrHPWH1WOut,TrHPWH2WOut,TrHPWH12WIn,TrHPWH12WOut,TrMixCold,TrMixHot,TrMixOut,TrRecircIn,TrRecirc2,TrPath1Out,TrPath2Out,TrPath12Out,PLastApt,FaPath1,FdPath1,CPath1,FaPath2,FdPath2,CPath2,CRecirc,WH1,WH2,FaPath12,FdPath12,FaTotal,FdTotal,CPath12,CTotal,FaHP1In,CHP1In,FaHP2In,CHP2In,FdHP1In,FdHP2In,CHP12In,TcSto1Tank01,TcSto1Tank02,TcSto1Tank03,TcSto1Tank04,TcSto1Tank05,TcSto1Tank06,TcSto1Tank07,TcSto1Tank08,TcSto1Tank09,TcSto1Tank10,TcSto1Tank11,TcSto1Tank12,TcWH1Tank01,TcWH1Tank02,TcWH1Tank03,TcWH1Tank04,TcWH1Tank05,TcWH1Tank06,TcWH1Tank07,TcWH1Tank08,TcWH1Tank09,TcWH1Tank10,TcWH1Tank11,TcWH1Tank12,WHtr,TcSto1Avg,TcWH1Avg,TrHtrIn,TrHtrOut,TrStoIn,TrStoOut,FdFMPStoOut,CFMPStoOut,FdFMSHtrOut,CFMSHtrOut,FdRecirc,FaFMCM,FdFMCM,CFMCM,TrHPSup,TrSto2HP,dt,FdFMRH_Calc,CFMRH_Calc,going_out,coming_in,vol_balance,Total_HW_E_At_Fixture_BTU,Min_Since_Draw,TankdEdt_W,TankdEdt_WApt,TankdEdt_WApt_sansUA,MV_Hot_Frac_TempBased,MV_Hot_Frac_VolBased,stratification_index_Sto1,stratification_index_WH1,Eout_hp1_BTU,Eout_hp2_BTU,dEHtr1,Q_Draw_P2S,Q_Swing_RE,dESto1_kBTU,COP_hp1,COP_hp2
0,67.753475,67.6425333333334,50.76305,,,,,,,,118.856333333333,123.556833333333,119.783333333333,119.467916666667,118.793416666667,,,,,0,0,0,0,0,0,3.419356,1.2,1.3,0,0,0,1.9899275,0,3.419356,0,0,0.011580225,0,0,0,0,142.928416666667,142.487583333333,142.229,142.309333333333,142.372083333333,143.634416666667,142.704333333333,142.487333333333,142.709,142.768333333333,142.940833333333,141.9445,123.656916666667,123.9425,124.127833333333,124.397833333333,124.2195,124.763166666667,124.339333333333,124.40675,122.90125,116.9175,116.717416666667,115.033583333333,0.295333333333333,142.626263888889,122.118631944444,114.43675,124.319,69.7069833333334,129.5415,0,0,0.444760483333333,0.82481914,1.9899275,1.62439083333333,1.63287583333333,2.650257,121.5445,121.677916666667,1,0.35705166666667,0.769099,3.419356,3.47507614,-0.0557201399999996,0,0,0,0,21.6966812950103,0.197213062440167,0.241220609962812,0.00546923288225393,0.0862435247189737,,,0,0,0.01679531724,0,,
1,67.1884833333333,67.6734416666667,50.0853,,,,,,,,118.954833333333,123.187416666667,119.186833333333,119.527,118.71875,,,,,0,0,0,0,0,0,2.024221,1.2,1.3,0,0,0,2.0273675,0,2.024221,0,0,0.0115606166666667,0,0,0,0,142.991666666667,142.607583333333,142.323416666667,142.405333333333,142.475833333333,143.757833333333,142.822583333333,142.649416666667,142.84775,142.912333333333,143.045583333333,141.973833333333,123.70175,124.0115,124.190833333333,124.45725,124.29025,124.799166666667,124.388666666667,124.441083333333,122.91,116.942416666667,116.701,115.021833333333,0.293416666666667,142.734430555556,122.154645833333,114.003416666667,124.03575,70.1634,129.496916666667,0,0,0.0669813333333334,0.0556627,2.0273675,1.96066916666667,1.94169666666667,1.935356,120.831416666667,120.3005,1,0.08567083333333,0.0888649999999998,2.024221,1.9910187,0.0332022999999997,0,1,628.879473001697,78.6099341252121,100.328970262043,0.0548128605461509,0.0274983314568913,0.00547502946660328,0.0867861815179527,,,35.7637724306679,0,0.016686318285,107.415449166987,,
2,66.7813916666667,67.6473083333333,49.18655,,,,,,,,119.063333333333,122.562583333333,119.25,119.283583333333,118.33575,,,,,0,0,0,0,0,0,1.993781,1.2,1.3,0,0,0,1.990025,0,1.993781,0,0,0.0115846666666667,0,0,0,0,143.064333333333,142.6605,142.415166666667,142.479666666667,142.564333333333,143.859833333333,142.941833333333,142.755333333333,142.950583333333,143.004166666667,143.11925,142.000333333333,123.955416666667,124.108916666667,124.281083333333,124.558166666667,124.383083333333,124.86925,124.464583333333,124.519833333333,123.001583333333,117.003583333333,116.71075,115.031166666667,0.294583333333333,142.817944444444,122.240618055556,113.605916666667,123.5425,70.3170916666667,128.907833333333,0,0,0,0,1.990025,1.90801416666667,1.8715525,1.874077,120.244,119.900083333333,1,0.1184725,0.119704,1.993781,1.874077,0.119704,0,2,1501.2587496734,187.657343709175,209.408106472807,0.0533447643543602,0,0.00564530809994097,0.0876524820012331,,,85.3751451396533,0,0.016752665475,82.9338849296795,,
3,66.8395166666667,67.51785,48.8796083333333,,,,,,,,118.794333333333,121.870666666667,118.975666666667,119.137416666667,117.9675,,,,,0,0,0,0,0,0,1.978559,1.2,1.3,0,0,0,1.98506916666667,0,1.978559,0,0,0.011595725,0,0,0,0,142.92425,142.645,142.280416666667,142.429083333333,142.479166666667,143.79175,142.8245,142.649583333333,142.8205,142.82025,142.9035,141.891833333333,123.8045,123.997833333333,124.1845,124.455666666667,124.28725,124.700916666667,124.375166666667,124.366416666667,122.815333333333,116.90875,116.498333333333,114.884916666667,0.29175,142.704986111111,122.106631944444,113.266333333333,122.9695,70.7845416666667,128.367916666667,0,0,0,0,1.98506916666667,1.93616916666667,1.93604916666667,1.940461,120.12925,119.533083333333,1,0.0490200000000001,0.038098,1.978559,1.940461,0.038098,0,3,-2339.6838704467,-292.460483805838,-270.704946736651,0.0589446310544878,0,0.00524801033564812,0.0879037985344944,,,-133.055577570322,0,0.016591536585,-112.173837708014,,
4,67.3713833333333,67.334475,49.45205,,,,,,,,118.708,121.238,118.88175,119.02825,117.577166666667,,,,,0,0,0,0,0,0,1.998853,1.2,1.28,0,0,0,1.99574416666667,0,1.998853,0,0,0.0116534833333333,0,0,0,0,142.777583333333,142.4455,142.147916666667,142.239083333333,142.2645,143.55225,142.549833333333,142.38275,142.496916666667,142.44625,142.515166666667,141.7195,123.475833333333,123.77675,123.968416666667,124.222083333333,124.06125,124.415083333333,124.165583333333,124.103083333333,122.5775,116.672833333333,116.185,114.680416666667,0.292666666666667,142.4614375,121.858652777778,113.005833333333,122.74675,70.9026,127.940916666667,0,0,0,0,1.99574416666667,1.94688666666667,1.92515,1.930247,119.398,118.379333333333,1,0.0705941666666701,0.0686059999999999,1.998853,1.930247,0.0686059999999999,0,4,-4330.24625940736,-541.28078242592,-519.542656702541,0.0686758893280625,0,0.00582832906053756,0.0879516441639039,,,-246.256951353504,0,0.01664366652,-241.857166006844,,
5,68.06575,67.220625,50.5105583333333,,,,,,,,118.566583333333,120.691333333333,118.736666666667,118.871833333333,117.047,,,,,0,0,0,0,0,0,2.009001,1.2,1.3,0,0,0,2.009635,0,2.009001,0,0,0.0117402416666667,0,0,0,0,142.611416666667,142.205583333333,142.007416666667,142.040333333333,142.065666666667,143.317666666667,142.306666666667,142.125916666667,142.202,142.131666666667,142.222416666667,141.556166666667,123.416833333333,123.575333333333,123.7745,124.01475,123.856416666667,124.185333333333,123.970083333333,123.89025,122.309916666667,116.482166666667,115.947,114.516416666667,0.292916666666667,142.232743055556,121.661583333333,112.765333333333,122.757333333333,71.247625,127.544916666667,0,0,0,0,2.009635,1.947795,1.94111833333333,1.935353,118.902916666667,117.6915,1,0.0685166666666699,0.0736479999999999,2.009001,1.935353,0.0736479999999999,0,5,-3441.25369935151,-430.156712418939,-408.451817148234,0.0800486331728463,0,0.00537550217682246,0.0879587549793139,,,-195.700797153336,0,0.016657883775,-227.106161527325,,
6,68.5746416666667,67.2055083333333,51.1716833333333,,,,,,,,118.456,120.223333333333,118.615666666667,118.786333333333,116.511333333333,,,,,0,0,0,0,0,0,2.003927,1.2,1.3,0,0,0,1.99622666666667,0,2.003927,0,0,0.0117699583333333,0,0,0,0,142.5375,142.173333333333,141.89525,141.95925,141.973583333333,143.206083333333,142.19325,141.986416666667,142.07025,142.0225,142.148083333333,141.524166666667,123.2805,123.515333333333,123.687833333333,123.919916666667,123.760916666667,124.125833333333,123.888166666667,123.816583333333,122.246583333333,116.430416666667,115.877,114.4425,0.29075,142.140805555555,121.582631944445,112.554166666667,122.620166666667,71.5848,127.00125,0,0,0,0,1.99622666666667,1.94408833333333,1.923225,1.925143,118.610333333333,116.795666666667,1,0.07300166666667,0.078784,2.003927,1.925143,0.078784,0,6,-1378.65999391697,-172.332499239621,-150.649832219303,0.0903432666920163,0,0.00508769700219086,0.0877579252354775,,,-78.4030714921738,0,0.016534667565,-91.2989940634881,,
7,68.6925666666667,67.3187916666667,51.17345,,,,,,,,118.349916666667,119.7785,118.503833333333,118.641833333333,116.065083333333,,,,,0,0,0,0,0,0,1.99378,1.2,1.3,0,0,0,2.00133666666667,0,1.99378,0,0,0.011750975,0,0,0,0,142.56325,142.238416666667,141.91575,141.957083333333,141.972666666667,143.2005,142.193916666667,141.982583333333,142.097833333333,142.066583333333,142.217833333333,141.580583333333,123.458,123.525083333333,123.706916666667,123.948166666667,123.780416666667,124.21125,123.92125,123.8715,122.221083333333,116.507333333333,115.9375,114.45275,0.294,142.165583333333,121.6284375,112.3335,122.389166666667,71.6599,126.6395,0.0411432666666669,0.0410589,0,0,2.00133666666667,1.92812083333333,1.92898833333333,1.925143,117.965,116.060083333333,1,0.0723483333333401,0.0686370000000001,1.99378,1.925143,0.0686370000000001,0,7,799.862900859314,99.9828626074142,121.639920381334,0.10774076882649,0,0.00497524453561551,0.0877079463614457,,,45.4874359716766,-3.44543863797461,0.01671949188,24.6056961113164,,
8,68.4797833333333,67.4780833333333,50.5099416666667,,,,,,,,118.23,119.327416666667,118.376916666667,118.551833333333,115.685916666667,,,,,0,0,0,0,0,0,1.998854,1.2,1.3,0,0,0,2.00200916666667,0,1.998854,0,0,0.011736775,0,0,0,0,142.63725,142.2755,141.93575,142.001583333333,142.034416666667,143.268583333333,142.281416666667,142.074583333333,142.21525,142.213916666667,142.392166666667,141.657333333333,123.465916666667,123.615083333333,123.767,124.040416666667,123.868916666667,124.348833333333,124.00275,123.991666666667,122.317333333333,116.626,116.0455,114.491333333333,0.290685166666667,142.248979166667,121.7150625,112.092666666667,122.27475,71.8025666666667,126.272333333333,0,0,0,0,2.00200916666667,1.92753583333333,1.92484333333333,1.925142,117.79825,115.551833333333,1,0.07716583333334,0.073712,1.998854,1.925142,0.073712,0,8,1512.6576448512,189.0822056064,210.717302780397,0.133875009492248,0,0.0052613126396232,0.0876817379275002,,,86.023389374998,0,0.01653098055687,82.8166492715046,,
9,68.1016083333333,67.6149916666667,49.5717,,,,,,,,118.125916666667,118.8955,118.269083333333,118.39825,115.37025,,,,,0,0,0,0,0,0,1.998854,1.2,1.3,0,0,0,1.99274,0,1.998854,0,0,0.0117225,0,0,0,0,142.720083333333,142.33675,142.002833333333,142.104166666667,142.150083333333,143.399916666667,142.428833333333,142.223416666667,142.389166666667,142.407416666667,142.5865,141.76775,123.58475,123.734166666667,123.878166666667,124.134083333333,123.9625,124.467166666667,124.090333333333,124.102333333333,122.3985,116.72125,116.129,114.54175,0.29332575,142.376409722222,121.812,111.831083333333,122.234583333333,72.075625,126.0255,0,0,0,0,1.99274,1.963065,1.94847166666667,1.95578,117.332583333333,114.570416666667,1,0.04426833333333,0.0430739999999998,1.998854,1.95578,0.0430739999999998,0,9,1692.73593590488,211.59199198811,233.224346749556,0.186031402273178,0,0.0055301928869468,0.0879823222532525,,,96.2642690624957,0,0.016681147943265,126.545550346679,,
